w_mom,w_lv,w_rsi,w_vol,tr_sharpe,tr_cumret,tr_annual,tr_mdd,te_sharpe,te_cumret,te_annual,te_mdd,te_winrate
0.0,0.30000000000000004,0.65,0.05,-0.29822376,-0.1833092,-0.069538295,-0.37770206,0.7676073,0.25785315,0.16813028,-0.13555896,0.53494626
0.0,0.30000000000000004,0.7000000000000001,0.0,-0.092888415,-0.09032744,-0.033134937,-0.35433364,1.0418596,0.396461,0.25384927,-0.13631275,0.49731183
0.0,0.35000000000000003,0.0,0.65,-0.55016494,-0.26666456,-0.10451794,-0.3088042,1.4495393,0.73186874,0.45069015,-0.14684935,0.5241935
0.0,0.35000000000000003,0.05,0.6000000000000001,-0.301401,-0.18237638,-0.06916022,-0.41651058,1.2950909,0.5813018,0.36400664,-0.14456618,0.52150536
0.0,0.35000000000000003,0.1,0.55,-0.29019868,-0.18863523,-0.07170266,-0.43470162,0.9480946,0.3675506,0.23620558,-0.1414877,0.50537634
0.0,0.35000000000000003,0.15000000000000002,0.5,0.10520725,0.0042643547,0.0015157461,-0.35786784,1.4283562,0.63264954,0.3938557,-0.13952415,0.53763443
0.0,0.35000000000000003,0.2,0.45,0.17371628,0.042687654,0.014989853,-0.35582665,1.438357,0.65156925,0.4047773,-0.14662108,0.5483871
0.0,0.35000000000000003,0.25,0.4,0.050699938,-0.028089643,-0.010089874,-0.39656416,1.0438448,0.4124354,0.26354766,-0.13117847,0.5403226
0.0,0.35000000000000003,0.30000000000000004,0.35000000000000003,0.03979552,-0.033222973,-0.0119540095,-0.36856365,1.1668845,0.4759344,0.30175507,-0.14758614,0.5403226
0.0,0.35000000000000003,0.35000000000000003,0.30000000000000004,-0.040060744,-0.07538688,-0.027512431,-0.38130745,0.8223903,0.29644096,0.1922872,-0.15467374,0.5268817
0.0,0.35000000000000003,0.4,0.25,0.052761693,-0.023464024,-0.00841558,-0.35619965,0.76461256,0.2731887,0.17775893,-0.16658622,0.5268817
0.0,0.35000000000000003,0.45,0.2,-0.102666356,-0.10526961,-0.038817883,-0.36065552,0.69251454,0.23186696,0.15172732,-0.13615078,0.5322581
0.0,0.35000000000000003,0.5,0.15000000000000002,-0.31782353,-0.19085789,-0.07260859,-0.40731668,0.7884448,0.27492142,0.17884445,-0.15183277,0.5403226
0.0,0.35000000000000003,0.55,0.1,-0.53171533,-0.27293926,-0.10725272,-0.40357798,0.8096306,0.27563488,0.17929125,-0.14131035,0.53494626
0.0,0.35000000000000003,0.6000000000000001,0.05,-0.44280997,-0.23764509,-0.09206253,-0.3942027,0.868007,0.29961693,0.19426513,-0.12696527,0.5430108
0.0,0.35000000000000003,0.65,0.0,-0.20621018,-0.13598269,-0.05069387,-0.3400785,0.9137871,0.3235103,0.209095,-0.12485283,0.52150536
0.0,0.4,0.0,0.6000000000000001,-0.54794425,-0.25588202,-0.099853516,-0.27490547,1.2672569,0.539693,0.33958888,-0.13827953,0.5268817
0.0,0.4,0.05,0.55,-0.23601004,-0.15269512,-0.057270706,-0.40034223,1.1521418,0.46158445,0.29316795,-0.15716909,0.53763443
0.0,0.4,0.1,0.5,-0.112359464,-0.102668166,-0.037824094,-0.4202267,1.1621356,0.47871554,0.30341625,-0.15643027,0.52150536
0.0,0.4,0.15000000000000002,0.45,-0.17088735,-0.13468558,-0.050186872,-0.42081288,1.4544327,0.6434525,0.40009677,-0.14213556,0.5430108
0.0,0.4,0.2,0.4,0.23173957,0.077402115,0.026890874,-0.3922635,1.7812449,0.8648814,0.52526176,-0.12100857,0.5564516
0.0,0.4,0.25,0.35000000000000003,0.33088621,0.13910675,0.04744959,-0.34198174,0.7858384,0.27416754,0.17837226,-0.15595327,0.52956986
