total_return_pct,max_drawdown_pct,total_trades,winning_trades,win_rate_pct,sharpe_ratio,final_equity_krw,initial_cash_krw,transaction_cost_bps,total_cost_krw,train_end,trade_year,strategy,overlay_mode,alpha,max_notional,max_positions,stop_loss_pct,take_profit_pct,trailing_stop_pct,max_holding_steps,daily_avg_pct_252,target_05pct_day
4.17,-15.57,121,49,40.5,0.7925,1041674.86,1000000,30.0,70480.52,2023,2024,fusion_hybrid_a0p5,hybrid,0.5,100000,8,0.06,0.25,0.06,10,0.016547619047619047,False
4.17,-15.57,121,49,40.5,0.7925,1041674.86,1000000,30.0,70480.52,2023,2024,fusion_hybrid_a0p5,hybrid,0.5,100000,8,0.06,0.25,0.06,20,0.016547619047619047,False
-1.55,-14.59,92,36,39.13,-0.0716,984509.5,1000000,30.0,53009.63,2023,2024,fusion_hybrid_a0p5,hybrid,0.5,100000,8,0.1,0.15,0.0,10,-0.006150793650793651,False
3.36,-10.47,85,35,41.18,0.7083,1033602.23,1000000,30.0,49708.98,2023,2024,fusion_hybrid_a0p5,hybrid,0.5,100000,8,0.1,0.15,0.0,20,0.013333333333333332,False
1.21,-15.93,103,43,41.75,0.3541,1012068.7,1000000,30.0,59824.59,2023,2024,fusion_hybrid_a0p5,hybrid,0.5,100000,8,0.1,0.15,0.06,10,0.0048015873015873015,False
1.21,-15.93,103,43,41.75,0.3541,1012068.7,1000000,30.0,59824.59,2023,2024,fusion_hybrid_a0p5,hybrid,0.5,100000,8,0.1,0.15,0.06,20,0.0048015873015873015,False
-6.1,-13.86,82,30,36.59,-0.8251,939021.78,1000000,30.0,46371.09,2023,2024,fusion_hybrid_a0p5,hybrid,0.5,100000,8,0.1,0.25,0.0,10,-0.024206349206349204,False
-3.77,-11.39,78,28,35.9,-0.4557,962264.52,1000000,30.0,44435.24,2023,2024,fusion_hybrid_a0p5,hybrid,0.5,100000,8,0.1,0.25,0.0,20,-0.01496031746031746,False
-5.63,-15.47,98,38,38.78,-0.8213,943650.6,1000000,30.0,55050.84,2023,2024,fusion_hybrid_a0p5,hybrid,0.5,100000,8,0.1,0.25,0.06,10,-0.022341269841269842,False
-5.63,-15.47,98,38,38.78,-0.8213,943650.6,1000000,30.0,55050.84,2023,2024,fusion_hybrid_a0p5,hybrid,0.5,100000,8,0.1,0.25,0.06,20,-0.022341269841269842,False
7.11,-8.38,76,35,46.05,1.2625,1071103.45,1000000,30.0,44467.06,2023,2024,fusion_hybrid_a0p5,hybrid,0.5,100000,8,0.14,0.15,0.0,10,0.028214285714285716,False
2.82,-8.58,61,25,40.98,0.6627,1028249.1,1000000,30.0,34812.88,2023,2024,fusion_hybrid_a0p5,hybrid,0.5,100000,8,0.14,0.15,0.0,20,0.01119047619047619,False
-5.36,-20.0,89,37,41.57,-0.6088,946395.13,1000000,30.0,49338.55,2023,2024,fusion_hybrid_a0p5,hybrid,0.5,100000,8,0.14,0.15,0.06,10,-0.021269841269841272,False
-9.02,-21.66,91,35,38.46,-1.1981,909847.3,1000000,30.0,48958.47,2023,2024,fusion_hybrid_a0p5,hybrid,0.5,100000,8,0.14,0.15,0.06,20,-0.035793650793650794,False
-6.89,-11.66,68,27,39.71,-0.9975,931065.91,1000000,30.0,37976.95,2023,2024,fusion_hybrid_a0p5,hybrid,0.5,100000,8,0.14,0.25,0.0,10,-0.02734126984126984,False
-10.85,-15.3,60,21,35.0,-1.9704,891516.33,1000000,30.0,32673.9,2023,2024,fusion_hybrid_a0p5,hybrid,0.5,100000,8,0.14,0.25,0.0,20,-0.043055555555555555,False
-16.23,-20.28,87,34,39.08,-2.5023,837681.43,1000000,30.0,47115.67,2023,2024,fusion_hybrid_a0p5,hybrid,0.5,100000,8,0.14,0.25,0.06,10,-0.06440476190476191,False
-23.62,-27.31,85,30,35.29,-3.8499,763778.64,1000000,30.0,44036.73,2023,2024,fusion_hybrid_a0p5,hybrid,0.5,100000,8,0.14,0.25,0.06,20,-0.09373015873015873,False
