total_return_pct,max_drawdown_pct,total_trades,winning_trades,win_rate_pct,sharpe_ratio,final_equity_krw,initial_cash_krw,transaction_cost_bps,total_cost_krw,train_end,trade_year,max_positions,max_notional,cash_fraction_per_entry,strategy,overlay_mode,alpha,stop_loss_pct,take_profit_pct,trailing_stop_pct,max_holding_steps,daily_avg_pct_252,target_05pct_day
187.48,-19.14,69,29,42.03,4.6684,2874825.75,1000000,30.0,192523.8,2023,2024,5,1000000,0.75,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.743968253968254,True
0.0,0.0,0,0,0.0,0.0,1000000.0,1000000,30.0,0.0,2023,2024,5,1000000,1.0,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.0,False
53.51,-13.41,84,34,40.48,3.6624,1535082.03,1000000,30.0,94360.93,2023,2024,6,200000,0.5,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.21234126984126983,False
63.35,-12.7,86,34,39.53,3.9755,1633521.22,1000000,30.0,100028.27,2023,2024,6,200000,0.75,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.2513888888888889,False
64.22,-12.65,81,32,39.51,3.9295,1642177.38,1000000,30.0,99298.67,2023,2024,6,200000,1.0,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.2548412698412698,False
60.67,-16.78,83,33,39.76,3.4057,1606734.98,1000000,30.0,108865.8,2023,2024,6,300000,0.5,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.24075396825396825,False
55.74,-17.59,84,33,39.29,3.0166,1557433.58,1000000,30.0,112411.06,2023,2024,6,300000,0.75,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.2211904761904762,False
42.83,-19.06,57,21,36.84,2.5005,1428282.05,1000000,30.0,104145.61,2023,2024,6,300000,1.0,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.16996031746031745,False
79.97,-18.8,83,32,38.55,3.6112,1799728.78,1000000,30.0,123241.43,2023,2024,6,500000,0.5,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.3173412698412698,False
106.71,-17.68,82,34,41.46,3.8688,2067116.05,1000000,30.0,143280.47,2023,2024,6,500000,0.75,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.4234523809523809,False
87.65,-16.6,40,16,40.0,3.6255,1876486.8,1000000,30.0,122961.05,2023,2024,6,500000,1.0,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.34781746031746036,False
74.42,-23.01,85,32,37.65,3.4277,1744154.11,1000000,30.0,123370.71,2023,2024,6,1000000,0.5,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.2953174603174603,False
195.43,-19.18,79,34,43.04,4.8099,2954333.18,1000000,30.0,196206.21,2023,2024,6,1000000,0.75,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.775515873015873,True
0.0,0.0,0,0,0.0,0.0,1000000.0,1000000,30.0,0.0,2023,2024,6,1000000,1.0,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.0,False
38.09,-19.84,108,42,38.89,2.8316,1380942.59,1000000,30.0,103321.94,2023,2024,8,200000,0.5,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.15115079365079367,False
58.34,-17.9,107,42,39.25,3.6556,1583442.23,1000000,30.0,113124.35,2023,2024,8,200000,0.75,ml_rerank,rerank,10.0,0.1,0.25,0.06,10,0.23150793650793652,False
